"lokasi.formasi","nama.prodi","no.ujian","hasil.akhir"
"BPS Pusat","D-IV Statistika","3306815","TIDAK LULUS"
"Provinsi Aceh","D-III Statistika","1101348","TIDAK LULUS"
"Provinsi Aceh","D-IV Statistika","3316096","TIDAK LULUS"
"Provinsi Sumatera Utara","D-IV Statistika","1202999","TIDAK LULUS"
"Provinsi Sumatera Utara","D-IV Statistika","1203402","TIDAK LULUS"
"Provinsi Sumatera Utara","D-IV Statistika","1210606","TIDAK LULUS"
"Provinsi Sumatera Utara","D-IV Statistika","3325184","TIDAK LULUS"
"Provinsi Sumatera Barat","D-IV Statistika","1308291","TIDAK LULUS"
"Provinsi Sumatera Barat","D-IV Statistika","1308781","TIDAK LULUS"
"Provinsi Sumatera Barat","D-IV Statistika","1309425","TIDAK LULUS"
"Provinsi Sumatera Barat","D-IV Statistika","1309922","TIDAK LULUS"
"Provinsi Sumatera Barat","D-IV Statistika","1311408","TIDAK LULUS"
"Provinsi Riau","D-IV Statistika","1401895","TIDAK LULUS"
"Provinsi Jambi","D-IV Komputasi Statistik","1504299","TIDAK LULUS"
"Provinsi Bengkulu","D-III Statistika","1703502","TIDAK LULUS"
"Provinsi Lampung","D-IV Statistika","1800597","TIDAK LULUS"
"Provinsi DKI Jakarta","D-IV Komputasi Statistik","3102037","TIDAK LULUS"
"Provinsi Jawa Barat","D-IV Komputasi Statistik","3205806","TIDAK LULUS"
"Provinsi Jawa Barat","D-IV Komputasi Statistik","3216046","TIDAK LULUS"
"Provinsi Jawa Barat","D-IV Komputasi Statistik","3217171","TIDAK LULUS"
"Provinsi Jawa Barat","D-IV Statistika","3214718","TIDAK LULUS"
"Provinsi Jawa Barat","D-IV Statistika","3215867","TIDAK LULUS"
"Provinsi Jawa Tengah","D-IV Komputasi Statistik","3310649","TIDAK LULUS"
"Provinsi Jawa Tengah","D-IV Statistika","3316823","TIDAK LULUS"
"Provinsi D I Yogyakarta","D-III Statistika","3402171","TIDAK LULUS"
"Provinsi Jawa Timur","D-IV Komputasi Statistik","3512867","TIDAK LULUS"
"Provinsi Banten","D-III Statistika","3101069","TIDAK LULUS"
"Provinsi Banten","D-IV Statistika","3213665","TIDAK LULUS"
"Provinsi Bali","D-III Statistika","5100514","TIDAK LULUS"
"Provinsi Bali","D-III Statistika","5100660","TIDAK LULUS"
"Provinsi Bali","D-III Statistika","5101450","TIDAK LULUS"
"Provinsi Nusa Tenggara Timur","D-IV Komputasi Statistik","2100939","TIDAK LULUS"
"Provinsi Kalimantan Barat","D-III Statistika","1403772","TIDAK LULUS"
"Provinsi Kalimantan Barat","D-III Statistika","3404128","TIDAK LULUS"
"Provinsi Kalimantan Barat","D-III Statistika","6102054","TIDAK LULUS"
"Provinsi Kalimantan Selatan","D-IV Statistika","6301987","TIDAK LULUS"
"Provinsi Kalimantan Utara","D-IV Statistika","3515288","TIDAK LULUS"
"Provinsi Sulawesi Utara","D-III Statistika","3200261","TIDAK LULUS"
"Provinsi Sulawesi Utara","D-IV Komputasi Statistik","1205574","TIDAK LULUS"
"Provinsi Sulawesi Utara","D-IV Komputasi Statistik","3310829","TIDAK LULUS"
"Provinsi Sulawesi Utara","D-IV Komputasi Statistik","7100420","TIDAK LULUS"
"Provinsi Sulawesi Selatan","D-IV Komputasi Statistik","7304338","TIDAK LULUS"
"Provinsi Maluku","D-IV Statistika","5203073","TIDAK LULUS"
"Provinsi Maluku Utara","D-IV Statistika","3321982","TIDAK LULUS"
"Provinsi Papua","D-IV Komputasi Statistik","3400353","TIDAK LULUS"
"Provinsi Papua","D-IV Komputasi Statistik","7200946","TIDAK LULUS"
"Provinsi Papua","D-IV Statistika","1804980","TIDAK LULUS"
